table,column,dtype,description
data/processed/phase5/<tag>/parameter_draws,updates.eta_C,float64,drawn value of the config leaf `updates.eta_C` (A1)
data/processed/phase5/<tag>/parameter_draws,updates.eta_R,float64,drawn value of the config leaf `updates.eta_R` (A1)
data/processed/phase5/<tag>/parameter_draws,updates.eta_O,float64,drawn value of the config leaf `updates.eta_O` (A1)
data/processed/phase5/<tag>/parameter_draws,updates.eta_D,float64,drawn value of the config leaf `updates.eta_D` (A1)
data/processed/phase5/<tag>/parameter_draws,updates.eta_F,float64,drawn value of the config leaf `updates.eta_F` (A1)
data/processed/phase5/<tag>/parameter_draws,plasticity.half_life_weeks,float64,drawn value of the config leaf `plasticity.half_life_weeks` (A1)
data/processed/phase5/<tag>/parameter_draws,plasticity.lambda_O,float64,drawn value of the config leaf `plasticity.lambda_O` (A1)
data/processed/phase5/<tag>/parameter_draws,phase5.ramp_per_year,float64,drawn value of the config leaf `phase5.ramp_per_year` (A1)
data/processed/phase5/<tag>/neural_contrasts,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/neural_contrasts,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/neural_contrasts,year,int64,school year (0 = before the first episode)
data/processed/phase5/<tag>/neural_contrasts,mechanism,str,"plasticity mechanism A, B, C or D (eq. 29-33)"
data/processed/phase5/<tag>/neural_contrasts,network,str,Yeo-7 network of the Schaefer-400 parcels
data/processed/phase5/<tag>/neural_contrasts,mean,float64,"mean (over learners, or across draws in summary tables)"
data/processed/phase5/<tag>/neural_contrasts,sd,float64,SD over learners
data/processed/phase5/<tag>/neural_contrasts,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
data/processed/phase5/<tag>/neural_contrasts,d,float64,"standardised neural contrast, mean / SD of the learner-level paired difference (eq. 44)"
data/processed/phase5/<tag>/weekly_means,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/weekly_means,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/weekly_means,week,int64,instructional week within the year
data/processed/phase5/<tag>/weekly_means,year,int64,school year (0 = before the first episode)
data/processed/phase5/<tag>/weekly_means,K,float64,knowledge (eq. 22)
data/processed/phase5/<tag>/weekly_means,D,float64,dependence on support (eq. 26)
data/processed/phase5/<tag>/weekly_means,first_try,float64,first-attempt correctness rate
data/processed/phase5/<tag>/weekly_means,far,float64,far-transfer accuracy (unaided test)
data/processed/phase5/<tag>/yearly_subsample,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/yearly_subsample,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/yearly_subsample,learner_id,int64,learner index within the draw (the same person across scenarios)
data/processed/phase5/<tag>/yearly_subsample,year,int64,school year (0 = before the first episode)
data/processed/phase5/<tag>/yearly_subsample,stratum,int64,"prior-knowledge stratum 0 low, 1 medium, 2 high (eq. 15)"
data/processed/phase5/<tag>/yearly_subsample,K,float32,knowledge (eq. 22)
data/processed/phase5/<tag>/yearly_subsample,M,float32,metacognitive monitoring (eq. 23)
data/processed/phase5/<tag>/yearly_subsample,R,float32,retrieval strength (eq. 25)
data/processed/phase5/<tag>/yearly_subsample,C,float32,calibration (eq. 24)
data/processed/phase5/<tag>/yearly_subsample,D,float32,dependence on support (eq. 26)
data/processed/phase5/<tag>/yearly_subsample,K_after_break,float32,K after the summer break
data/processed/phase5/<tag>/yearly_subsample,M_after_break,float32,M after the summer break
data/processed/phase5/<tag>/yearly_subsample,unaided,float32,unaided accuracy on trained items (end-of-year test)
data/processed/phase5/<tag>/yearly_subsample,far,float32,far-transfer accuracy (unaided test)
data/processed/phase5/<tag>/yearly_subsample,p_request,float32,model-implied probability of requesting help after an error
data/processed/phase5/<tag>/yearly_subsample,retention,float32,accuracy after the break (retention test)
data/processed/phase5/<tag>/yearly_subsample,help_rate,float32,help requests per episode over the year
data/processed/phase5/<tag>/yearly_subsample,N_A_Vis,float32,"model-implied network state N, mechanism A, network Vis (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_SomMot,float32,"model-implied network state N, mechanism A, network SomMot (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_DorsAttn,float32,"model-implied network state N, mechanism A, network DorsAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_SalVentAttn,float32,"model-implied network state N, mechanism A, network SalVentAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_Limbic,float32,"model-implied network state N, mechanism A, network Limbic (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_Cont,float32,"model-implied network state N, mechanism A, network Cont (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_A_Default,float32,"model-implied network state N, mechanism A, network Default (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_Vis,float32,"model-implied network state N, mechanism B, network Vis (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_SomMot,float32,"model-implied network state N, mechanism B, network SomMot (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_DorsAttn,float32,"model-implied network state N, mechanism B, network DorsAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_SalVentAttn,float32,"model-implied network state N, mechanism B, network SalVentAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_Limbic,float32,"model-implied network state N, mechanism B, network Limbic (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_Cont,float32,"model-implied network state N, mechanism B, network Cont (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_B_Default,float32,"model-implied network state N, mechanism B, network Default (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_Vis,float32,"model-implied network state N, mechanism C, network Vis (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_SomMot,float32,"model-implied network state N, mechanism C, network SomMot (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_DorsAttn,float32,"model-implied network state N, mechanism C, network DorsAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_SalVentAttn,float32,"model-implied network state N, mechanism C, network SalVentAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_Limbic,float32,"model-implied network state N, mechanism C, network Limbic (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_Cont,float32,"model-implied network state N, mechanism C, network Cont (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_C_Default,float32,"model-implied network state N, mechanism C, network Default (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_Vis,float32,"model-implied network state N, mechanism D, network Vis (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_SomMot,float32,"model-implied network state N, mechanism D, network SomMot (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_DorsAttn,float32,"model-implied network state N, mechanism D, network DorsAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_SalVentAttn,float32,"model-implied network state N, mechanism D, network SalVentAttn (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_Limbic,float32,"model-implied network state N, mechanism D, network Limbic (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_Cont,float32,"model-implied network state N, mechanism D, network Cont (eq. 29-33, 7)"
data/processed/phase5/<tag>/yearly_subsample,N_D_Default,float32,"model-implied network state N, mechanism D, network Default (eq. 29-33, 7)"
data/processed/phase5/<tag>/contrast_hist,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/contrast_hist,year,int64,school year (0 = before the first episode)
data/processed/phase5/<tag>/contrast_hist,outcome,str,outcome name (see the outcome rows of this dictionary)
data/processed/phase5/<tag>/contrast_hist,bin,int64,histogram bin index
data/processed/phase5/<tag>/contrast_hist,bin_low,float64,lower edge of the bin
data/processed/phase5/<tag>/contrast_hist,bin_high,float64,upper edge of the bin
data/processed/phase5/<tag>/contrast_hist,count,int64,"learners in the bin, summed over draws"
data/processed/phase5/<tag>/episodes_central,draw_id,int64,"parameter draw (-1 = the central draw, every leaf at medium)"
data/processed/phase5/<tag>/episodes_central,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
data/processed/phase5/<tag>/episodes_central,learner_id,int64,learner index within the draw (the same person across scenarios)
data/processed/phase5/<tag>/episodes_central,episode,int64,0-based episode index
data/processed/phase5/<tag>/episodes_central,unit_id,str,curriculum unit
data/processed/phase5/<tag>/episodes_central,difficulty,float64,"unit difficulty (logit scale, eq. 17)"
data/processed/phase5/<tag>/episodes_central,stratum,int64,"prior-knowledge stratum 0 low, 1 medium, 2 high (eq. 15)"
data/processed/phase5/<tag>/episodes_central,protocol,str,instructional protocol that actually ran (in free choice: the one chosen)
data/processed/phase5/<tag>/episodes_central,first_correct,int8,first answer correct
data/processed/phase5/<tag>/episodes_central,transfer_correct,int8,near-transfer answer correct
data/processed/phase5/<tag>/episodes_central,help_requests,int8,help requests in the episode
data/processed/phase5/<tag>/episodes_central,reveal,int8,the answer was provided
data/processed/phase5/<tag>/episodes_central,effort,float64,effort E (eq. 19)
data/processed/phase5/<tag>/episodes_central,effectiveness,float64,effectiveness F (eq. 20)
data/processed/phase5/<tag>/episodes_central,p_correct,float64,eq. 17-18 probability of a correct answer
data/processed/phase5/<tag>/episodes_central,K,float64,knowledge (eq. 22)
data/processed/phase5/<tag>/episodes_central,D,float64,dependence on support (eq. 26)
data/processed/<tag>/learner_state.parquet,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
data/processed/<tag>/learner_state.parquet,protocol,str,instructional protocol that actually ran (in free choice: the one chosen)
data/processed/<tag>/learner_state.parquet,learner_id,int64,learner index within the draw (the same person across scenarios)
data/processed/<tag>/learner_state.parquet,time,int64,episode index (the learner's clock)
data/processed/<tag>/learner_state.parquet,unit_id,str,curriculum unit
data/processed/<tag>/learner_state.parquet,K,float64,knowledge (eq. 22)
data/processed/<tag>/learner_state.parquet,M,float64,metacognitive monitoring (eq. 23)
data/processed/<tag>/learner_state.parquet,R,float64,retrieval strength (eq. 25)
data/processed/<tag>/learner_state.parquet,C,float64,calibration (eq. 24)
data/processed/<tag>/learner_state.parquet,D,float64,dependence on support (eq. 26)
data/processed/<tag>/learner_state.parquet,effort,float64,effort E (eq. 19)
data/processed/<tag>/learner_state.parquet,effectiveness,float64,effectiveness F (eq. 20)
data/processed/<tag>/learner_state.parquet,support,float64,support level received
data/processed/<tag>/learner_state.parquet,correctness,int64,"answer correctness (0/1), or unit correctness score in units.csv"
data/processed/<tag>/learner_state.parquet,retrieval,float64,retrieval proxy of the episode (eq. 21)
data/processed/<tag>/learner_state.parquet,offloading,float64,offloading proxy of the episode
data/processed/<tag>/learner_state.parquet,pe,float64,prediction error of the first answer
data/processed/<tag>/learner_state.parquet,resolution,int64,error resolved within the episode
data/processed/<tag>/learner_state.parquet,answer_provided,int64,the answer was shown by the protocol
data/processed/<tag>/learner_state.parquet,hint_depth,int64,deepest hint or tutor turn reached
data/processed/<tag>/learner_state.parquet,help_requests,int64,help requests in the episode
data/processed/<tag>/learner_state.parquet,attempts,int64,answer attempts
data/processed/<tag>/learner_state.parquet,transfer_correct,int64,near-transfer answer correct
data/processed/<tag>/learner_state.parquet,tutor_calls,int64,LLM tutor calls
data/processed/<tag>/learner_state.parquet,tutor_leaked,int64,tutor turns rejected by the leakage check
data/processed/<tag>/responses.csv,learner_id,int64,learner index within the draw (the same person across scenarios)
data/processed/<tag>/responses.csv,episode,int64,0-based episode index
data/processed/<tag>/responses.csv,episode_id,str,unique episode key
data/processed/<tag>/responses.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
data/processed/<tag>/responses.csv,protocol,str,instructional protocol that actually ran (in free choice: the one chosen)
data/processed/<tag>/responses.csv,stage,str,"turn stage (approach, first, help, retry, transfer)"
data/processed/<tag>/responses.csv,turn,int64,turn index within the episode
data/processed/<tag>/responses.csv,prompt,str,text shown to the learner model
data/processed/<tag>/responses.csv,response,str,learner model output
data/processed/<tag>/responses.csv,answer,float64,option chosen
data/processed/<tag>/responses.csv,confidence,float64,"1-5 confidence rating (tracks the record, not the answer; CLAUDE.md)"
data/processed/<tag>/responses.csv,correctness,float64,"answer correctness (0/1), or unit correctness score in units.csv"
data/processed/<tag>/responses.csv,latency_proxy,float64,simulated time on task
data/processed/<tag>/responses.csv,token_count,int64,tokens in the prompt
data/processed/<tag>/responses.csv,requested_support,int64,help was requested at this turn
data/processed/<tag>/responses.csv,explanation,str,rule behind the chosen option (options are rule-generated)
data/processed/<tag>/responses.csv,hint_depth,int64,deepest hint or tutor turn reached
data/processed/<tag>/responses.csv,support,float64,support level received
data/processed/<tag>/responses.csv,p_correct,float64,eq. 17-18 probability of a correct answer
data/processed/<tag>/responses.csv,layout,str,option order shown
data/processed/<tag>/checkpoints.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
data/processed/<tag>/checkpoints.csv,learner_id,int64,learner index within the draw (the same person across scenarios)
data/processed/<tag>/checkpoints.csv,checkpoint_episode,int64,episode after which the §7.7 checkpoint ran
data/processed/<tag>/checkpoints.csv,stratum,int64,"prior-knowledge stratum 0 low, 1 medium, 2 high (eq. 15)"
data/processed/<tag>/checkpoints.csv,unaided_accuracy_trained,float64,unaided accuracy on trained items
data/processed/<tag>/checkpoints.csv,supported_accuracy_trained,float64,supported accuracy on trained items
data/processed/<tag>/checkpoints.csv,support_gap,float64,supported - unaided accuracy
data/processed/<tag>/checkpoints.csv,near_transfer_accuracy,float64,near-transfer accuracy
data/processed/<tag>/checkpoints.csv,far_transfer_accuracy,float64,far-transfer accuracy
data/processed/<tag>/checkpoints.csv,retention_accuracy,float64,accuracy on items last practised >= retention_interval episodes ago
data/processed/<tag>/checkpoints.csv,n_retention_items,int64,retention items available
data/processed/<tag>/checkpoints.csv,brier_score,float64,"Brier score of confidence (measures the record for Centaur, CLAUDE.md)"
data/processed/<tag>/checkpoints.csv,expected_calibration_error,float64,ECE of confidence
data/processed/<tag>/checkpoints.csv,dependence_request_rate,float64,help requests per opportunity
data/processed/<tag>/checkpoints.csv,K,float64,knowledge (eq. 22)
data/processed/<tag>/checkpoints.csv,M,float64,metacognitive monitoring (eq. 23)
data/processed/<tag>/checkpoints.csv,R,float64,retrieval strength (eq. 25)
data/processed/<tag>/checkpoints.csv,C,float64,calibration (eq. 24)
data/processed/<tag>/checkpoints.csv,D,float64,dependence on support (eq. 26)
data/processed/units.csv,unit_id,str,curriculum unit
data/processed/units.csv,domain,str,MBA domain
data/processed/units.csv,concept,str,concept (15; two units each)
data/processed/units.csv,difficulty,int64,"unit difficulty (logit scale, eq. 17)"
data/processed/units.csv,prerequisites,str,prerequisite units
data/processed/units.csv,reference_answer,float64,correct answer
data/processed/units.csv,near_transfer_answer,float64,near-transfer correct answer
data/processed/units.csv,transfer_answer,float64,far-transfer correct answer
data/processed/units.csv,misconception_answer,float64,answer produced by the misconception
data/processed/units.csv,misconception,str,the misconception rule
data/processed/units.csv,correctness,float64,"answer correctness (0/1), or unit correctness score in units.csv"
data/processed/units.csv,coverage,float64,semantic coverage as eq. 20 reads it (1.0; the measured coverage is in tableS_semantic_coverage)
data/processed/stimuli.csv,stimulus_id,str,stimulus key (unit x condition)
data/processed/stimuli.csv,unit_id,str,curriculum unit
data/processed/stimuli.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
data/processed/stimuli.csv,variant,str,stimulus variant (one per unit and condition)
data/processed/stimuli.csv,text,str,stimulus text (the TRIBE input)
data/processed/stimuli.csv,modality,str,stimulus modality (text)
data/processed/stimuli.csv,example_count,int64,worked examples
data/processed/stimuli.csv,word_count,int64,words
data/processed/stimuli.csv,sentence_count,int64,sentences
data/processed/stimuli.csv,character_count,int64,characters
data/processed/stimuli.csv,readability,float64,readability score
data/processed/stimuli.csv,equation_count,int64,equations
data/processed/stimuli.csv,lexical_diversity,float64,type-token ratio
data/processed/stimuli.csv,duration,float64,reading time in s at 220 wpm (eq. 4)
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,stimulus_id,str,stimulus key (unit x condition)
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,unit_id,str,curriculum unit
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,level,str,"`parcel`, `network` or `stimulus`"
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,key,str,parcel id or network name
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,metric,str,TRIBE metric (gate-19 definitions)
data/tribe/<run>/wpm<speed>/tribe_metrics.parquet,value,float64,"metric value (predicted response, a.u.)"
outputs/tables/choice_rule_fit.csv,feature,str,
outputs/tables/choice_rule_fit.csv,estimate,float64,mean over learners (level) or mean paired difference (contrast)
outputs/tables/choice_rule_fit.csv,ci_low,float64,
outputs/tables/choice_rule_fit.csv,ci_high,float64,
outputs/tables/choice_rule_validation_by_episode.csv,episodes,str,
outputs/tables/choice_rule_validation_by_episode.csv,approach,str,
outputs/tables/choice_rule_validation_by_episode.csv,centaur,float64,
outputs/tables/choice_rule_validation_by_episode.csv,rule,float64,
outputs/tables/choice_rule_validation_by_episode.csv,n,int64,draws (or units) in the summary
outputs/tables/corpus_balance.csv,feature,str,
outputs/tables/corpus_balance.csv,mean_traditional,float64,
outputs/tables/corpus_balance.csv,sd_traditional,float64,
outputs/tables/corpus_balance.csv,mean_ai_scaffolding,float64,
outputs/tables/corpus_balance.csv,sd_ai_scaffolding,float64,
outputs/tables/corpus_balance.csv,mean_ai_substitution,float64,
outputs/tables/corpus_balance.csv,sd_ai_substitution,float64,
outputs/tables/corpus_balance.csv,smd_S-T,float64,
outputs/tables/corpus_balance.csv,diff_S-T,float64,
outputs/tables/corpus_balance.csv,tost_p_S-T,float64,
outputs/tables/corpus_balance.csv,smd_U-T,float64,
outputs/tables/corpus_balance.csv,diff_U-T,float64,
outputs/tables/corpus_balance.csv,tost_p_U-T,float64,
outputs/tables/corpus_balance.csv,smd_S-U,float64,
outputs/tables/corpus_balance.csv,diff_S-U,float64,
outputs/tables/corpus_balance.csv,tost_p_S-U,float64,
outputs/tables/corpus_balance.csv,within_target,bool,
outputs/tables/engine_comparison.csv,section,str,
outputs/tables/engine_comparison.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/engine_comparison.csv,outcome,str,outcome name (see the outcome rows of this dictionary)
outputs/tables/engine_comparison.csv,centaur,float64,
outputs/tables/engine_comparison.csv,logistic,float64,
outputs/tables/engine_comparison.csv,difference,float64,
outputs/tables/engine_comparison.csv,ci_low,float64,
outputs/tables/engine_comparison.csv,ci_high,float64,
outputs/tables/engine_comparison.csv,n_learners,int64,
outputs/tables/engine_free_choice_shares.csv,K_tercile,str,
outputs/tables/engine_free_choice_shares.csv,protocol,str,instructional protocol that actually ran (in free choice: the one chosen)
outputs/tables/engine_free_choice_shares.csv,share,float64,
outputs/tables/engine_free_choice_shares.csv,engine,str,
outputs/tables/fig3_network_responses.csv,network,str,Yeo-7 network of the Schaefer-400 parcels
outputs/tables/fig3_network_responses.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/fig3_network_responses.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/fig3_network_responses.csv,ci_low,float64,
outputs/tables/fig3_network_responses.csv,ci_high,float64,
outputs/tables/fig3_network_responses.csv,n_units,int64,
outputs/tables/fig4_rdm.csv,condition,str,"assigned arm (traditional, ai_scaffolding, ai_substitution, free_choice)"
outputs/tables/fig4_rdm.csv,unit_a,str,
outputs/tables/fig4_rdm.csv,unit_b,str,
outputs/tables/fig4_rdm.csv,dissimilarity,float64,
outputs/tables/fig5_trajectories_v_main.csv,panel,str,
outputs/tables/fig5_trajectories_v_main.csv,variable,str,
outputs/tables/fig5_trajectories_v_main.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig5_trajectories_v_main.csv,time,int64,episode index (the learner's clock)
outputs/tables/fig5_trajectories_v_main.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/fig5_trajectories_v_main.csv,p05,float64,
outputs/tables/fig5_trajectories_v_main.csv,p95,float64,
outputs/tables/fig5b_trajectory_model_v_main.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig5b_trajectory_model_v_main.csv,episode,int64,0-based episode index
outputs/tables/fig5b_trajectory_model_v_main.csv,p_correct,float64,eq. 17-18 probability of a correct answer
outputs/tables/fig5b_trajectory_model_v_main.csv,lo95,float64,2.5th percentile across draws
outputs/tables/fig5b_trajectory_model_v_main.csv,hi95,float64,97.5th percentile across draws
outputs/tables/fig7a_phase_diagram.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig7a_phase_diagram.csv,a,float64,
outputs/tables/fig7a_phase_diagram.csv,e,float64,
outputs/tables/fig7a_phase_diagram.csv,o,float64,
outputs/tables/fig7a_phase_diagram.csv,f,float64,
outputs/tables/fig7a_phase_diagram.csv,median_G,float64,
outputs/tables/fig7a_phase_diagram.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/fig7a_phase_diagram.csv,n,int64,draws (or units) in the summary
outputs/tables/fig7a_phase_diagram.csv,lo90,float64,5th percentile across draws
outputs/tables/fig7a_phase_diagram.csv,hi90,float64,95th percentile across draws
outputs/tables/fig7a_phase_diagram.csv,lo95,float64,2.5th percentile across draws
outputs/tables/fig7a_phase_diagram.csv,hi95,float64,97.5th percentile across draws
outputs/tables/fig7a_phase_diagram.csv,share_beneficial_eps0.01,float64,drawn value of the config leaf `share_beneficial_eps0.01` (A1)
outputs/tables/fig7a_phase_diagram.csv,class_eps0.01,str,drawn value of the config leaf `class_eps0.01` (A1)
outputs/tables/fig7a_phase_diagram.csv,share_beneficial_eps0.02,float64,drawn value of the config leaf `share_beneficial_eps0.02` (A1)
outputs/tables/fig7a_phase_diagram.csv,class_eps0.02,str,drawn value of the config leaf `class_eps0.02` (A1)
outputs/tables/fig7a_phase_diagram.csv,share_beneficial_eps0.05,float64,drawn value of the config leaf `share_beneficial_eps0.05` (A1)
outputs/tables/fig7a_phase_diagram.csv,class_eps0.05,str,drawn value of the config leaf `class_eps0.05` (A1)
outputs/tables/fig7b_neural_diagram.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig7b_neural_diagram.csv,half_life_weeks,float64,
outputs/tables/fig7b_neural_diagram.csv,lambda_O,float64,
outputs/tables/fig7b_neural_diagram.csv,network,str,Yeo-7 network of the Schaefer-400 parcels
outputs/tables/fig7b_neural_diagram.csv,median_d,float64,
outputs/tables/fig7b_neural_diagram.csv,prsup,float64,PrSup (eq. 38): share of learners with a positive paired difference
outputs/tables/fig7b_neural_diagram.csv,n_draws,int64,
outputs/tables/fig8a_spec_curve_G.csv,tag,str,
outputs/tables/fig8a_spec_curve_G.csv,form,str,
outputs/tables/fig8a_spec_curve_G.csv,forgetting,str,
outputs/tables/fig8a_spec_curve_G.csv,epw,int64,
outputs/tables/fig8a_spec_curve_G.csv,effort,str,effort E (eq. 19)
outputs/tables/fig8a_spec_curve_G.csv,outcome_weights,str,
outputs/tables/fig8a_spec_curve_G.csv,scenario,str,Phase V scenario (config phase5.scenarios); in frontier / mediation runs the cell or `base|hold_X` name
outputs/tables/fig8a_spec_curve_G.csv,tier,int64,specification-curve tier (highest rank among its levels)
outputs/tables/fig8a_spec_curve_G.csv,mean,float64,"mean (over learners, or across draws in summary tables)"
outputs/tables/fig8a_spec_curve_G.csv,median,float64,"median over learners, or across draws in summary tables"
outputs/tables/fig8a_spec_curve_G.csv,n,int64,draws (or units) in the summary
outputs/tables/fig8a_spec_curve_G.csv,lo90,float64,5th percentile across draws
outputs/tables/fig8a_spec_curve_G.csv,hi90,float64,95th percentile across draws
outputs/tables/fig8a_spec_curve_G.csv,lo95,float64,2.5th percentile across draws
