parameter,low,medium,high,phase V draw,source
plasticity.eta,,1.0,,fixed,assumption
plasticity.lambda.A,,0.3333333,,fixed,"brief §8.6 (non-negative, sum to one; equal split assumed)"
plasticity.lambda.PE,,0.3333333,,fixed,"brief §8.6 (non-negative, sum to one; equal split assumed)"
plasticity.lambda.R,,0.3333334,,fixed,"brief §8.6 (non-negative, sum to one; equal split assumed)"
plasticity.lambda_O,0.0,0.3333333,0.6666667,"Triangular(0.0, 0.3333333, 0.6666667)",assumption
support.max_hints,,3,,fixed,brief §3.3
support.adaptation.traditional,,0.35,,fixed,assumption
support.adaptation.ai_scaffolding,,0.9,,fixed,assumption
support.adaptation.ai_substitution,,0.2,,fixed,assumption
support.mismatch_scale,,3.0,,fixed,assumption
support.fade_base,,0.75,,fixed,assumption
support.withdrawal_success_threshold,,2,,fixed,assumption
support.latency.base_s,,45.0,,fixed,assumption
support.latency.per_hint_s,,20.0,,fixed,assumption
support.latency.per_attempt_s,,30.0,,fixed,assumption
checkpoints.episodes,,"[9, 19, 39]",,fixed,assumption
checkpoints.n_trained,,3,,fixed,assumption
checkpoints.n_near,,2,,fixed,assumption
checkpoints.n_far,,2,,fixed,assumption
checkpoints.retention_interval,,10,,fixed,assumption
checkpoints.ece_bins,,10,,fixed,assumption
phase5.years,,10,,fixed,brief §9
phase5.draws,,500,,fixed,brief §9.3 (fallback size)
phase5.learners_per_draw,,2000,,fixed,brief §9.3 (fallback size)
phase5.subsample_learners,,100,,fixed,assumption
phase5.subsample_draws,,20,,fixed,assumption
phase5.ramp_per_year,0.0,0.1,0.2,"Triangular(0.0, 0.1, 0.2)",assumption
phase5.checkpoint_years,,"[1, 5, 10]",,fixed,assumption
phase5.G.weights.K,,0.25,,fixed,brief §9.6 (equal weights)
phase5.G.weights.R,,0.25,,fixed,brief §9.6 (equal weights)
phase5.G.weights.M,,0.25,,fixed,brief §9.6 (equal weights)
phase5.G.weights.D,,0.25,,fixed,brief §9.6 (equal weights)
phase5.G.epsilon,,0.02,,fixed,brief §9.6 (equal weights)
phase5.stakeholder_weights.learning_first.K,,0.4,,fixed,assumption
phase5.stakeholder_weights.learning_first.R,,0.3,,fixed,assumption
phase5.stakeholder_weights.learning_first.M,,0.2,,fixed,assumption
phase5.stakeholder_weights.learning_first.D,,0.1,,fixed,assumption
phase5.stakeholder_weights.autonomy_first.K,,0.2,,fixed,assumption
phase5.stakeholder_weights.autonomy_first.R,,0.3,,fixed,assumption
phase5.stakeholder_weights.autonomy_first.M,,0.1,,fixed,assumption
phase5.stakeholder_weights.autonomy_first.D,,0.4,,fixed,assumption
